Type,SKU,Name,Parent,Regular Price,,Published,Stock,,Description,Weight,Length,Width,,,Images,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Visible,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Visible,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Visible,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Visible,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Visible,Attribute 5 Global,Attribute 6 Name,Attribute 6 Value(s),Attribute 6 Visible,Attribute 6 Global
variation,B01106-RD.R,Double Cross Bracelet - ,id:23401,750.00,,1,1,,"A minimal everyday piece that you can wear to work or date night. The bracelet is in 14K and availabe in Yellow, White and Rose Gold",17.78,0.7,0.2,,,https://luvente.com/cdn/shop/files/ba3acfb7522618de0c9369dce29881f57314526d2ae1ec599283860037ec6e25.jpg,,,,,,,,,,,,,Metal,14KR,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01106-RD.W,Double Cross Bracelet - ,id:23401,750.00,,1,1,,"A minimal everyday piece that you can wear to work or date night. The bracelet is in 14K and availabe in Yellow, White and Rose Gold",17.78,0.7,0.2,,,https://luvente.com/cdn/shop/files/a9990f8cb9b310e8914813d8d5e92f212341640d6e5de2307d6e66b7b6aa1216_bcd47bae-ea7d-42fe-a070-da22431c9b6a.jpg,,,,,,,,,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01106-RD.Y,Double Cross Bracelet - ,id:23401,750.00,,1,1,,"A minimal everyday piece that you can wear to work or date night. The bracelet is in 14K and availabe in Yellow, White and Rose Gold",17.78,0.7,0.2,,,https://luvente.com/cdn/shop/files/8a0a6f5c6a75121dbc0f188f1df1f4abbf1b59250889628da3aa6504b8bf1157.jpg,,,,,,,,,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01110-RD.R,Marquise-Shaped Bracelet - ,id:23408,4 300.00,,1,1,,The marquise-shaped details sprinkled with sparkling white diamonds give your wrist a luxurious and silky look. The 14K white gold diamond bracelet will attract everyone's attention.,17.78,0.6,0.3,,,https://luvente.com/cdn/shop/files/accadfca901d29f32b58b6d3cbfd3978c322106151b90cb89a9c8f370abc1f53.jpg,,,,,,,,,,,,,Metal,14KR,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01110-RD.W,Marquise-Shaped Bracelet - ,id:23408,4 300.00,,1,1,,The marquise-shaped details sprinkled with sparkling white diamonds give your wrist a luxurious and silky look. The 14K white gold diamond bracelet will attract everyone's attention.,17.78,0.6,0.3,,,https://luvente.com/cdn/shop/files/7c67b4092b7301031da771778ae67e7b0ca5102535f45106344432f9d86ff0c0.jpg,,,,,,,,,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01110-RD.Y,Marquise-Shaped Bracelet - ,id:23408,4 300.00,,1,1,,The marquise-shaped details sprinkled with sparkling white diamonds give your wrist a luxurious and silky look. The 14K white gold diamond bracelet will attract everyone's attention.,17.78,0.6,0.3,,,https://luvente.com/cdn/shop/files/2168ad5b9c19638ce395c873cf7df7aeaf5889904337626515e1e45e335ffb53_6210595c-9ef2-4e8d-b24e-70e1edfef666.jpg,,,,,,,,,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01208-RD.TT,Chain Bracelet - ,id:23415,5 400.00,,1,1,,"This alternating 14K gold chain bracelet is the perfect statement piece you'll wear every day. The blend of shimmering diamond pavéd links and polished white gold ones makes this piece sophisticated, but still trendy and suitable for daily wear.",17.78,0.6,0.2,,,https://luvente.com/cdn/shop/files/6589e58bbaa54e51eff86b42a7325f0254e52e91faa558dd73177a157395cc97_d9b4f01d-822b-4d73-b351-0cc52cb75178.jpg,,,,,,,,,,,,,Metal,14KTT,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01208-RD.W,Chain Bracelet - ,id:23415,5 400.00,,1,1,,"This alternating 14K gold chain bracelet is the perfect statement piece you'll wear every day. The blend of shimmering diamond pavéd links and polished white gold ones makes this piece sophisticated, but still trendy and suitable for daily wear.",17.78,0.6,0.2,,,https://luvente.com/cdn/shop/files/0599ab25276073fda9b5e42b0759cd24029f3bd223db653799806e5c10ab44bd.jpg,,,,,,,,,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01208-RD.Y,Chain Bracelet - ,id:23415,5 400.00,,1,1,,"This alternating 14K gold chain bracelet is the perfect statement piece you'll wear every day. The blend of shimmering diamond pavéd links and polished white gold ones makes this piece sophisticated, but still trendy and suitable for daily wear.",17.78,0.6,0.2,,,https://luvente.com/cdn/shop/files/206643f49f0ab9e85d8b1d3e68e30cf80ef080257f04c0695df45187c9850b0a.jpg,,,,,,,,,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01277-EM.W,Clover Bracelet - ,id:23422,10 350.00,,1,1,,"Be the first to add this designer bracelet to your collection. Crafted from 14K gold, this diamond-accented clover design bracelet is sure to be a favorite.",17.78,0.7,0.3,,,https://luvente.com/cdn/shop/files/8bd0a40101eb76422a81bfa9278c2bf82d6bdbf9891cdf91b223d41b784c8892.jpg,,,,,,,,,,,,,Metal,14KW,1,1,Stone,EM,1,1,Stone Category,Precious,1,1
